"id","label","language","script","scientist","scientist_year"
65000924,"[--]IMAQI ||| [--] ||| [--]C[--]","goide","ogham","Macalister, R.A.S.","1940"
65000925,"[M]I[C]ANAVVI MAQ L[U]G[U]N[.]","goide","ogham","Macalister, R.A.S.","1945"
65000926,"[..]CANAVVIMAQL[--]N[--","goide","ogham","McManus, D.","1991"
65000927,"VEQI{X}A[M^B]IMAQILUGUNI","goide","ogham","Macalister, R.A.S.","1945"
65000928,"GRIMIGGN[--]ICERC[.--","goide","ogham","Macalister, R.A.S.","1945"
65000929,"GR[I--]GN[--]CERC[--","goide","ogham","McManus, D.","1991"
65000930,"CULRIGAIMAQIMENUMAQ[--","goide","ogham","Macalister, R.A.S.","1945"
65000931,"BRANI MAQQIMU || CC || [--][R.L][--","goide","ogham","Macalister, R.A.S.","1945"
65000932,"COLLOS[--","name","ogham","Macalister, R.A.S.","1945"
65000933,"COLLI","name","ogham","McManus, D.","1991"
65000934,"QUTQ","inc","ogham","McCarthy, J. P.","1980"
65000935,"NUVN","inc","ogham","McCarthy, J. P.","1980"
65000936,"SEVERRIT |||[--] ||| TTAIS","goide","ogham","Macalister/1945","1945"
65000937,"DOVATUCI[A]V ||| I ||| TULOTANAGIA","goide","ogham","Macalister/1945","1945"
65000938,"LOBB[.]X[..]MAQQIMUC || [..][R] || [.]N[.]","goide","ogham","Macalister/1945","1945"
65000939,"--]QNETN[O!][--","ind","ogham","Macalister","1945"
65000940,"--]QNETN[A!][--","ind","ogham","O'Sullivan, Sheehan","1996"
65000941,"ANMGATT{X}GLAN","inc","ogham","Macalister, R. A. S.","1945"
65000942,"ANM[--]GLAN","inc","ogham","O'Sullivan, Sheehan","1996"
65000943,"COLMANMACICOMGANN","inc","ogham","O Donnabháin, B.","1981"
65000944,"CROCCANMAQIDOMONIGART","goide","ogham","O Donnabháin, B.","1981"
65000945,"OTTINNMAQIVEC[R--","goide","ogham","Macalister, R.A.S.","1945"
65000946,"GOSSUCTTIAS","name","ogham","Macalister, R.A.S.","1902"
65000947,"GOSSUCTTIAS","name","ogham","McManus, D.","1991"
65000948,"GOSSUCTTIAS","name","ogham","Cuppage, J.","1986"
65000949,"GAMICUNAS","name","ogham","Macalister, R.A.S.","1945"
65000950,"GAMICUNAS","name","ogham","McManus, D.","1991"
65000951,"GAMICUNAS","name","ogham","Cuppage, J.","1986"
65000952,"--][!O]NEGGN[I]","name","ogham","Macalister, R.A.S.","1945"
65000953,"AMNCOLOL ||| {Th}MANALITI ||| R","goide","oghms","Macalister, R.A.S.","1945"
65000954,"[MADOR]AMAQIDEGO","goide","ogham","Macalister, R.A.S.","1945"
65000955,"MAQIBRI[-- | --]CELIALACA[--","goide","ogham","Macalister","1945"
65000956,"IVAGENIMAQI | LAISCEMITA","goide","ogham","Macalister, R.A.S.","1945"
65000957,"--][M][--][M][--","goide","ogham","Macalister, R.A.S.","1945"
65000958,"TENRENMONOIGDUQDEGGEV","goide","ogham","Macalister, R.A.S.","1945"
65000959,"DALAGNIMAQIDALI","goide","ogham","Macalister, R.A.S.","1945"
65000960,"BROINIENAS{K}OINETATTRENALUGOS","goide","ogham","Macalister, R.A.S.","1945"
65000961,"VERGOSOMACILLOMINACCA","goide","ogham","Macalister, R.A.S.","1945"
65000962,"QENILOCGNIMAQID[--","goide","ogham","Macalister, R.A.S.","1945"
65000963,"[MI]NNACCANNIMAQIAILLUATTAN","goide","ogham","Macalister, R.A.S.","1945"
65000964,"--][..][--","ind","ogham","Macalister, R.A.S.","1945"
65000965,"--]MAQI[--","goide","ogham","McManus, D","1991"
65000966,"--]MAQI[--","goide","ogham","McManus, D","1991"
65000967,"--]MAQI[--","goide","ogham","McManus, D","1991"
65000968,"CUNNETASMAQ ||| IGUC[.] ||| [.]NETASEGAMONAS","goide","ogham","Macalister, R.A.S.","1945"
65000969,"MAQICAIRATINI | AVIINEQAGLAS","goide","ogham","Macalister, R. A. S.","1945"
65000970,"[--][MAQI MUCOI][--]","goide","ogham","Macalister, R. A. S.","1945"
65000971,"BRRUANANN","name","ogham","Macalister, R.A.S.","1945"
65000972,"--]GGUUSS[--","name","ogham","Macalister, R.A.S.","1945"
