"id","label","wkt","wikidata_id","townland_label","barony_label","county_label","province_label","country_label"
40000082,"Cotts (Ogham Site)","POINT(-6.4275 52.215278)","Q85391675","Cotts","Forth","Wexford","Leinster","Ireland"
40000083,"Coumeenoole North / Dunmore Head (Ogham Site)","POINT(-10.458333 52.111944)","Q85395557","Coumeenoole North","Corkaguiny","Kerry","Munster","Ireland"
40000084,"Coumlanders (Ogham Site)","POINT(-10.175484 52.125339)","Q106626872","Coumlanders","Corkaguiny","Kerry","Munster","Ireland"
40000085,"Crag (Ogham Site)","POINT(-9.5325 52.191667)","Q85396823","Crag","Trughanacmy","Kerry","Munster","Ireland"
40000086,"Crehanagh South (Ogham Site)","POINT(-7.391111 52.330556)","Q85396978","Crehanagh South","Upperthird","Waterford","Munster","Ireland"
40000087,"Crinnaloo North (Ogham Site)","POINT(-8.928056 52.066667)","Q85393948","Crinnaloo North","Muskerry West","Cork","Munster","Ireland"
40000088,"Crushterra (Ogham Site)","POINT(-9.132804 51.792584)","Q106628048","Crushterra","Carbery East (West Division)","Cork","Munster","Ireland"
40000089,"Curraghmore East (Ogham Site)","POINT(-9.621667 52.208611)","Q85395570","Curraghmore East","Trughanacmy","Kerry","Munster","Ireland"
40000090,"Curraghnagarraha (Ogham Site)","POINT(-7.379167 52.324167)","Q85396866","Curraghnagarraha","Upperthird","Waterford","Munster","Ireland"
40000091,"Cush of Grange (Ogham Site)","POINT(-7.755833 51.988333)","Q85396845","Cush Of Grange","Decies Within Drum","Waterford","Munster","Ireland"
40000092,"Darrynane Beg (Ogham Site)","POINT(-10.122222 51.773056)","Q85395573","Darrynane Beg","Dunkerron South","Kerry","Munster","Ireland"
40000093,"Deelish (Ogham Site)","POINT(-8.887778 51.940833)","Q85393938","Deelish","Muskerry East","Cork","Munster","Ireland"
40000094,"Derrygarrane South (Ogham Site)","POINT(-9.746667 51.91)","Q85395602","Derrygarrane South","Dunkerron South","Kerry","Munster","Ireland"
40000095,"Derrygarriv (Ogham Site)","POINT(-9.665 51.974444)","Q85395535","Derrygarriv","Dunkerron North","Kerry","Munster","Ireland"
40000096,"Dingle Ogham Site (Ogham Site)","POINT(-10.27 52.14)","Q85395597","Dingle","Corkaguiny","Kerry","Munster","Ireland"
40000097,"Donaghmore (Ogham Site)","POINT(-6.551111 53.375278)","Q85391654","Donaghmore","Salt North","Kildare","Leinster","Ireland"
40000098,"Donard (Ogham Site)","POINT(-6.617778 53.016944)","Q85391710","Donard Lower","Talbotstown Lower","Wicklow","Leinster","Ireland"
40000099,"Dooghmakeon (Ogham Site)","POINT(-9.87 53.746389)","Q85390429","Dooghmakeon","Murrisk","Mayo","Connacht","Ireland"
40000100,"Dromatouk (Ogham Site)","POINT(-9.525833 51.885278)","Q85395543","Dromatouk","Glanarought","Kerry","Munster","Ireland"
40000101,"Dromkeare (Ogham Site)","POINT(-10.113611 51.848056)","Q85395550","Dromkeare","Iveragh","Kerry","Munster","Ireland"
40000102,"Dromlusk (Ogham Site)","POINT(-9.786667 51.881111)","Q85395540","Dromlusk","Dunkerron South","Kerry","Munster","Ireland"
40000103,"Dromore Ogham Site (Ogham Site)","POINT(-7.848889 52.064444)","Q85396907","Dromore","Decies Within Drum","Waterford","Munster","Ireland"
40000104,"Drumconwell (Ogham Site)","POINT(-6.655278 54.307222)","Q85392810","Drumconwell","Fews Lower","Armagh","Ulster","Northern Ireland"
40000105,"Drummin (Ogham Site)","POINT(-8.362222 53.84)","Q85390417","Drummin","Castlereagh","Roscommon","Connacht","Ireland"
40000106,"Dun Laoghaire (Ogham Site)","POINT(-6.142222 53.293333)","Q85391699","Dunleary","Rathdown","Dublin","Leinster","Ireland"
40000107,"Dunalis Upper (Ogham Site)","POINT(-6.744444 55.116667)","Q85392833","Dunalis Upper","Coleraine","Londonderry","Ulster","Northern Ireland"
40000108,"Dunbell Big (Ogham Site)","POINT(-7.172222 52.617778)","Q85391719","Dunbell Big","Gowran","Kilkenny","Leinster","Ireland"
40000109,"Dunbulloge (Ogham Site)","POINT(-8.452778 51.980833)","Q85393918","Dunbulloge","Barrymore","Cork","Munster","Ireland"
40000110,"Dungummin (Ogham Site)","POINT(-7.209444 53.794444)","Q85392823","Dungummin Upper","Clanmahon","Cavan","Ulster","Ireland"
40000111,"Dunmanway (Ogham Site)","POINT(-9.112042 51.714579)","Q106628046","Tonafora","Carbery East (West Division)","Cork","Munster","Ireland"
40000112,"Emlagh East (Ogham Site)","POINT(-10.228056 52.133056)","Q85395559","Emlagh East","Corkaguiny","Kerry","Munster","Ireland"
40000113,"Emlagh West (Ogham Site)","POINT(-10.270556 52.135278)","Q85395521","Emlagh West","Corkaguiny","Kerry","Munster","Ireland"
40000114,"Ennis Ogham Site (Ogham Site)","POINT(-8.9807 52.8463)","Q85394775","Clonroad Beg","Islands","Clare","Munster","Ireland"
40000115,"Farran (Ogham Site)","POINT(-10.269408 52.139327)","Q106628057","Farran","Corkaguiny","Kerry","Munster","Ireland"
40000116,"Faunkill and the Woods / BallycrovaneFaunkill and the Woods (Ogham Site)","POINT(-9.935278 51.712222)","Q85393998","Faunkill and The Woods","Bear","Cork","Munster","Ireland"
40000117,"Fiddaun Upper (Ogham Site)","POINT(-7.036389 52.518889)","Q85391658","Fiddaun Upper","Gowran","Kilkenny","Leinster","Ireland"
40000118,"Fortwilliam (Ogham Site)","POINT(-9.724167 52.362778)","Q85394087","Fortwilliam","Clanmaurice","Kerry","Munster","Ireland"
40000119,"Fox's Castle (Ogham Site)","POINT(-7.495 52.155278)","Q85396851","Fox'S Castle","Decies without Drum","Waterford","Munster","Ireland"
40000120,"Garranes (Ogham Site)","POINT(-8.761667 51.816389)","Q69385525","Garranes","Kinalmeaky","Cork","Munster","Ireland"
40000121,"Garranmillon (Ogham Site)","POINT(-7.483333 52.191389)","Q85396944","Garranmillon Lower","Decies without Drum","Waterford","Munster","Ireland"
40000122,"Gearha South (Ogham Site)","POINT(-9.765716 51.889059)","Q106628051","Dromlusk","Dunkerron South","Kerry","Munster","Ireland"
40000123,"Glanfahan (Ogham Site)","POINT(-10.437222 52.103333)","Q85395523","Glanfahan","Corkaguiny","Kerry","Munster","Ireland"
40000124,"Glanmore (Ogham Site)","POINT(-10.159444 52.186944)","Q85395522","Coumanare","Corkaguiny","Kerry","Munster","Ireland"
40000125,"Glashaboy South (Ogham Site)","POINT(-8.538435 52.031405)","Q106628068","Glashaboy South","Barrymore","Cork","Munster","Ireland"
