"id","insc_no","reading_no"
60000200,1,1
60000201,1,1
60000202,1,1
60000203,1,1
60000204,1,1
60000205,1,1
60000206,1,1
60000207,1,1
60000208,1,1
60000209,1,1
60000210,1,1
60000211,1,1
60000212,1,1
60000213,1,1
60000214,1,1
60000215,1,1
60000216,1,1
60000217,1,1
60000218,1,1
60000219,1,1
60000220,1,1
60000221,1,1
60000222,1,1
60000223,1,1
60000224,1,1
60000225,1,1
60000226,1,1
60000227,1,1
60000228,1,1
60000229,1,1
60000230,1,1
60000231,1,1
60000232,1,1
60000233,1,1
60000234,1,1
60000235,1,1
60000236,1,1
60000237,1,1
60000238,1,1
60000239,1,1
60000240,1,1
60000241,1,1
60000242,1,1
60000243,1,1
60000244,1,1
60000245,1,1
60000246,1,1
60000247,1,1
60000248,1,1
60000249,1,1
60000250,1,1
60000251,1,1
60000252,1,1
60000253,1,1
60000254,1,1
60000255,1,1
60000256,1,1
60000257,1,1
60000258,1,1
60000259,1,1
60000260,1,1
60000261,1,1
60000262,1,1
60000263,1,1
60000264,1,1
60000265,1,1
60000266,1,1
60000267,1,1
60000268,1,1
60000269,1,1
60000270,1,1
60000271,1,1
60000272,1,1
60000273,1,1
60000274,1,1
60000275,1,1
60000276,1,1
60000277,1,1
60000278,1,1
60000279,1,1
60000280,1,1
60000281,1,1
60000282,1,1
60000283,1,1
60000284,1,1
60000285,1,1
60000286,1,1
60000287,1,1
60000288,1,1
60000289,1,1
60000290,1,1
60000291,1,1
60000292,1,1
60000293,1,1
60000294,1,1
60000295,1,1
60000296,1,1
60000297,1,1
60000298,1,1
60000299,1,1
60000300,1,1
60000301,1,1
60000302,1,1
60000303,1,1
60000304,1,1
60000305,1,1
60000306,1,1
60000307,1,1
60000308,1,1
60000309,1,1
60000310,1,1
60000311,1,1
60000312,1,1
60000313,1,1
60000314,1,1
60000315,1,1
60000316,1,1
60000317,1,1
60000318,1,1
60000319,1,1
60000320,1,1
60000321,1,1
60000322,1,1
60000323,1,1
61000001,1,1
61000002,1,1
61000003,1,1
61000004,1,1
61000005,1,1
61000006,1,1
61000007,1,1
61000008,1,1
61000009,1,1
61000010,1,1
61000011,1,1
61000012,1,1
61000013,1,1
61000014,1,1
61000015,1,1
61000016,1,1
61000017,1,1
61000018,1,1
61000019,1,1
61000020,1,1
61000021,1,1
61000022,1,1
61000023,1,1
61000024,1,1
61000025,1,1
61000026,1,1
61000027,1,1
61000028,1,1
61000029,1,1
61000030,1,1
61000031,1,1
61000032,1,1
61000033,1,1
61000034,1,1
61000035,1,1
61000036,1,1
61000037,1,1
61000038,1,1
61000039,1,1
61000040,1,1
61000041,1,1
61000042,1,1
61000043,1,1
61000044,1,1
61000045,1,1
61000046,1,1
61000047,1,1
61000048,1,1
61000049,1,1
61000050,1,1
61000051,1,1
61000052,1,1
61000053,1,1
61000054,1,1
61000055,1,1
61000056,1,1
61000057,1,1
61000058,1,1
61000059,1,1
61000060,1,1
61000061,1,1
61000062,1,1
61000063,1,1
61000064,1,1
61000065,1,1
61000066,1,1
61000067,1,1
61000068,1,1
61000069,1,1
61000070,1,1
61000071,1,1
61000072,1,1
61000073,1,1
61000074,1,1
61000075,1,1
61000076,1,1
61000077,1,1
61000078,1,1
61000079,1,1
61000080,1,1
61000081,1,1
61000082,1,1
61000083,1,1
61000084,1,1
61000085,1,1
61000086,1,1
61000087,1,1
61000088,1,1
61000089,1,1
61000090,1,1
61000091,1,1
61000092,1,1
61000093,1,1
61000094,1,1
61000095,1,1
61000096,1,1
61000097,1,1
61000098,1,1
61000099,1,1
61000100,1,1
61000101,1,1
61000102,1,1
61000103,1,1
61000104,1,1
61000105,1,1
61000106,1,1
61000107,1,1
61000108,1,1
61000109,1,1
61000110,1,1
61000111,1,1
61000112,1,1
61000113,1,1
61000114,1,1
61000115,1,1
61000116,1,1
61000117,1,1
61000118,1,1
61000119,1,1
61000120,1,1
61000121,1,1
61000122,1,1
61000123,1,1
61000124,1,1
61000125,1,1
61000126,1,1
61000127,1,1
61000128,1,1
61000129,1,1
61000130,1,1
61000131,1,1
61000132,1,1
61000133,1,1
61000134,1,1
61000135,1,1
61000136,1,1
61000137,1,1
61000138,1,1
61000139,1,1
61000140,1,1
61000141,1,1
61000142,1,1
61000143,1,1
61000144,1,1
61000145,1,1
61000146,1,1
61000147,1,1
61000148,1,1
61000149,1,1
61000150,1,1
61000151,1,1
61000152,1,1
61000153,1,1
61000154,1,1
61000155,1,1
61000156,1,1
61000157,1,1
61000158,1,1
61000159,1,1
61000160,1,1
61000161,1,1
61000162,1,1
62000001,1,1
62000002,1,2
62000003,1,3
62000004,1,1
62000005,1,1
62000006,1,2
62000007,1,1
62000008,1,2
62000009,1,1
62000010,1,2
62000011,1,1
62000012,1,2
62000013,1,1
62000014,1,2
62000015,1,1
62000016,1,1
62000017,1,2
62000018,1,3
62000019,1,1
62000020,1,2
62000021,1,3
62000022,1,4
62000023,1,1
62000024,1,2
62000025,1,1
62000026,1,2
62000027,1,1
62000028,1,1
62000029,1,1
62000030,1,1
62000031,1,1
62000032,1,1
62000033,1,1
62000034,1,2
62000035,1,1
62000036,1,2
62000037,1,3
62000038,1,2
62000039,1,1
62000040,1,1
62000041,1,1
62000042,1,2
62000043,1,1
62000044,1,2
62000045,1,1
62000046,2,1
62000047,1,1
62000048,1,2
62000049,1,3
62000050,1,1
62000051,1,2
62000052,1,3
62000053,1,1
62000054,1,2
62000055,1,2
62000056,2,1
62000057,2,2
62000058,1,1
62000059,2,1
62000060,1,1
62000061,1,2
62000062,1,3
62000063,1,2
62000064,1,1
62000065,1,2
62000066,1,1
62000067,1,2
62000068,1,1
62000069,1,1
62000070,1,1
62000071,1,2
62000072,1,3
62000073,1,1
62000074,1,2
62000075,1,2
62000076,1,1
62000077,1,3
62000078,1,1
62000079,1,2
62000080,1,1
62000081,1,2
62000082,1,1
62000083,1,1
62000084,1,1
62000085,1,2
62000086,1,1
62000087,1,2
62000088,1,3
62000089,1,2
62000090,1,4
62000091,1,3
62000092,1,1
62000093,1,1
62000094,1,1
62000095,1,1
62000096,1,1
62000097,1,2
62000098,1,1
62000099,1,2
62000100,1,3
62000101,1,1
62000102,1,1
62000103,1,2
62000104,1,3
62000105,1,1
62000106,1,2
62000107,1,1
62000108,1,2
62000109,1,3
62000110,1,4
62000111,1,1
62000112,1,1
62000113,1,2
62000114,1,3
62000115,1,1
62000116,1,2
62000117,1,1
62000118,1,2
62000119,1,1
62000120,1,1
62000121,1,2
62000122,1,3
62000123,1,4
62000124,1,1
62000125,1,1
62000126,1,2
62000127,1,1
62000128,1,1
62000129,1,2
62000130,1,1
62000131,1,1
62000132,1,2
62000133,1,1
62000134,1,1
62000135,1,1
62000136,1,1
62000137,2,1
62000138,1,2
62000139,1,1
62000140,1,1
62000141,1,1
62000142,1,1
62000143,1,2
62000144,1,3
62000145,1,3
62000146,1,1
62000147,1,2
62000148,1,1
62000149,1,1
62000150,1,2
62000151,1,1
62000152,1,1
62000153,1,2
62000154,1,1
62000155,1,1
62000156,1,2
62000157,2,1
62000158,1,1
62000159,1,1
62000160,1,2
62000161,1,1
62000162,1,2
62000163,1,3
62000164,1,4
62000165,1,1
62000166,1,2
62000167,1,1
62000168,1,2
62000169,1,1
62000170,1,1
62000171,1,1
62000172,1,1
62000173,1,1
62000174,1,1
62000175,2,1
62000176,1,1
62000177,1,1
62000178,1,2
62000179,1,4
62000180,2,1
62000181,2,2
62000182,1,1
62000183,1,1
62000184,1,1
62000185,1,2
62000186,1,1
62000187,1,1
62000188,1,2
62000189,1,1
62000190,1,2
62000191,1,1
62000192,2,1
62000193,1,1
62000194,1,1
62000195,1,1
62000196,1,1
62000197,1,2
62000198,1,1
62000199,1,1
62000200,1,2
62000201,1,1
62000202,1,2
62000203,1,3
62000204,1,1
62000205,2,1
62000206,1,1
62000207,2,1
62000208,1,1
62000209,1,1
62000210,1,1
62000211,1,2
62000212,1,1
62000213,1,1
62000214,1,1
62000215,1,1
62000216,1,1
62000217,1,2
62000218,1,1
62000219,1,1
62000220,1,1
62000221,1,1
62000222,1,1
62000223,1,2
62000224,1,1
62000225,1,1
62000226,1,1
62000227,1,2
62000228,1,1
62000229,1,1
62000230,1,1
62000231,1,1
62000232,1,1
62000233,1,1
62000234,1,1
