"id_stone","id_word"
20000169,6
20000169,8
20000169,10
20000169,17
20000170,6
20000170,8
20000170,17
20000171,11
20000171,16
20000172,6
20000173,6
20000173,8
20000174,6
20000174,8
20000175,6
20000175,8
20000176,6
20000177,2
20000177,3
20000177,6
20000177,10
20000178,6
20000179,6
20000179,8
20000179,41
20000180,6
20000180,9
20000180,10
20000181,8
20000183,10
20000183,10
20000184,6
20000184,62
20000185,6
20000185,20
20000185,6
20000185,20
20000188,6
20000188,43
20000188,6
20000188,8
20000188,43
20000191,6
20000191,8
20000191,51
20000192,2
20000192,6
20000193,1
20000193,6
20000194,2
20000194,71
20000195,6
20000195,8
20000195,85
20000197,6
20000197,8
20000197,6
20000197,8
20000198,6
20000198,8
20000198,13
20000198,20
20000198,96
20000198,6
20000198,8
20000198,13
20000198,20
20000198,96
20000199,6
20000199,41
20000202,13
20000202,24
20000202,103
20000202,13
20000206,6
20000206,10
20000206,32
20000206,87
20000206,10
20000206,32
20000206,87
20000209,6
20000209,11
20000209,6
20000209,11
20000210,44
20000211,6
20000211,6
20000211,6
20000211,8
20000211,18
20000211,52
20000211,6
20000211,8
20000212,6
20000212,8
20000212,22
20000213,6
20000213,8
20000213,23
20000213,6
20000213,8
20000213,23
20000213,56
20000214,6
20000214,11
20000215,2
20000215,12
20000215,40
20000215,12
20000215,40
20000217,6
20000217,22
20000218,6
20000218,10
20000218,14
20000218,20
20000218,100
20000218,6
20000218,10
20000218,14
20000218,20
20000218,100
20000219,18
20000219,26
20000219,52
20000219,6
20000219,11
20000219,18
20000219,26
20000219,52
20000219,18
20000219,26
20000219,52
20000223,2
20000223,6
20000224,10
20000224,2
20000224,10
20000225,1
20000226,1
20000226,6
20000226,83
20000229,6
20000229,17
20000229,6
20000229,17
20000230,6
20000230,17
20000232,47
20000232,2
20000233,8
20000233,22
20000233,8
20000233,22
20000234,6
20000234,10
20000234,48
20000234,60
20000234,6
20000234,10
20000234,48
20000234,60
20000235,17
20000236,6
20000236,6
20000239,6
20000241,6
20000241,6
20000246,17
20000246,19
20000248,1
20000248,6
20000249,6
20000249,8
20000249,10
20000249,17
20000250,6
20000250,6
20000251,2
20000251,6
20000251,20
20000252,8
20000253,6
20000254,6
20000255,6
20000256,2
20000256,13
20000260,6
20000263,6
20000263,6
20000265,10
20000266,3
20000266,9
20000268,9
20000269,12
20000272,6
20000274,8
20000274,12
20000275,6
20000276,6
20000277,6
20000277,8
20000277,17
20000278,6
20000280,6
20000281,6
20000281,6
20000281,17
20000282,6
20000282,17
20000283,18
20000283,52
20000283,18
20000283,52
20000284,6
20000285,6
20000285,20
20000288,16
20000289,2
20000289,13
20000290,6
20000292,1
20000292,1
20000293,1
20000293,6
20000294,1
20000294,6
20000295,6
20000297,10
20000297,90
20000297,10
20000297,90
20000297,10
20000297,90
20000300,6
20000300,49
20000301,3
20000301,6
20000302,6
20000302,22
20000302,92
20000304,6
20000304,48
20000304,71
20000305,5
20000305,9
20000305,17
20000305,23
20000306,6
20000306,16
20000306,33
20000306,94
20000307,6
20000307,21
20000308,6
20000310,6
20000311,6
